# Score Result
| ID | length | state | recall | prec | matched_brackets | gold_brackets | test_brackets | cross_brackets | words | correct_tags | tag_accracy |
|  38|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
|  39|      32|      0|    0.00|  0.00|                 0|              9|             15|               7|     32|            32|            1|
|  40|      27|      0|    0.08|  0.08|                 1|             12|             13|               7|     27|            27|            1|
|  41|      11|      0|    1.00|  1.00|                 3|              3|              3|               0|     11|            11|            1|
|  42|      45|      0|    0.08|  0.06|                 1|             12|             17|               7|     45|            45|            1|
|  43|      30|      0|    0.08|  0.07|                 1|             12|             15|               9|     30|            30|            1|
|  44|      26|      0|    0.00|  0.00|                 0|             11|             12|               6|     26|            26|            1|
|  45|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
|  46|      37|      0|    0.00|  0.00|                 0|             12|             16|               9|     37|            37|            1|
|  47|      21|      0|    0.11|  0.11|                 1|              9|              9|               3|     21|            21|            1|
|  48|      27|      0|    0.00|  0.00|                 0|             11|             13|               6|     27|            27|            1|
|  49|      15|      0|    1.00|  1.00|                 3|              3|              3|               0|     15|            15|            1|
|  50|      46|      0|    0.08|  0.06|                 1|             12|             17|               3|     46|            46|            1|
|  51|      27|      0|    0.08|  0.08|                 1|             12|             13|               6|     27|            27|            1|
|  52|      29|      0|    0.00|  0.00|                 0|             11|             13|               8|     29|            29|            1|
|  53|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
|  54|      38|      0|    0.00|  0.00|                 0|             12|             16|               8|     38|            38|            1|
|  55|      23|      0|    0.09|  0.08|                 1|             11|             12|               3|     23|            23|            1|
|  56|      27|      0|    0.00|  0.00|                 0|              9|             13|               3|     27|            27|            1|
|  57|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
|  58|      30|      0|    0.00|  0.00|                 0|              8|             15|               6|     30|            30|            1|
|  59|      28|      0|    0.08|  0.07|                 1|             12|             14|               6|     28|            28|            1|
|  60|      25|      0|    0.00|  0.00|                 0|             10|             12|               4|     25|            25|            1|
|  61|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
|  62|      84|      0|    0.19|  0.21|                 3|             16|             14|               2|     84|            84|            1|
|  63|      85|      0|    0.00|  0.00|                 0|             19|             15|              10|     85|            85|            1|
|  64|      72|      0|    0.00|  0.00|                 0|             18|             16|               9|     72|            72|            1|
|  65|     194|      0|    0.04|  0.06|                 1|             25|             16|               7|    194|           194|            1|
|  66|      98|      0|    0.00|  0.00|                 0|             21|             16|               7|     98|            98|            1|
|  67|      82|      0|    0.00|  0.00|                 0|             21|             16|              11|     82|            82|            1|
|  68|      75|      0|    0.00|  0.00|                 0|              7|             15|               2|     75|            75|            1|
|  69|     108|      0|    0.05|  0.06|                 1|             21|             18|              12|    108|           108|            1|
|  70|      77|      0|    0.00|  0.00|                 0|             18|             13|               6|     77|            77|            1|
|  71|      46|      0|    0.07|  0.06|                 1|             14|             16|               4|     46|            46|            1|
|  72|      66|      0|    0.00|  0.00|                 0|             19|             16|              11|     66|            66|            1|
|  73|      59|      0|    0.00|  0.00|                 0|              7|             16|               4|     59|            59|            1|
|  74|      98|      0|    0.05|  0.06|                 1|             20|             17|              12|     98|            98|            1|
|  75|      58|      0|    0.00|  0.00|                 0|             18|             14|               9|     58|            58|            1|
|  76|      48|      0|    0.00|  0.00|                 0|             17|             15|               8|     48|            48|            1|
|  77|      33|      0|    0.00|  0.00|                 0|              5|             16|               2|     33|            33|            1|
|  78|     158|      0|    0.04|  0.05|                 1|             27|             19|              13|    158|           158|            1|
|  79|      30|      0|    0.23|  0.21|                 3|             13|             14|               3|     30|            30|            1|
|  80|      92|      0|    0.05|  0.06|                 1|             20|             17|               9|     92|            92|            1|
|  81|      38|      0|    0.06|  0.07|                 1|             16|             14|               6|     38|            38|            1|
|  82|      20|      0|    0.00|  0.00|                 0|             12|             11|               3|     20|            20|            1|
|  83|      47|      0|    0.00|  0.00|                 0|             19|             16|              13|     47|            47|            1|
|  84|      32|      0|    0.00|  0.00|                 0|             15|             14|              10|     32|            32|            1|
|  85|      10|      0|    1.00|  1.00|                 3|              3|              3|               0|     10|            10|            1|
|  86|      42|      0|    0.00|  0.00|                 0|             15|             13|               6|     42|            42|            1|
|  87|      22|      0|    0.00|  0.00|                 0|              4|             10|               0|     22|            22|            1|
|  88|      88|      0|    0.05|  0.06|                 1|             19|             17|              10|     88|            88|            1|
|  89|      51|      0|    0.00|  0.00|                 0|             18|             15|               8|     51|            51|            1|
|  90|      26|      0|    0.00|  0.00|                 0|             13|             12|               6|     26|            26|            1|
|  91|      16|      0|    0.67|  0.67|                 2|              3|              3|               0|     16|            16|            1|
|  92|      67|      0|    0.07|  0.06|                 1|             15|             18|              10|     67|            67|            1|
|  93|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
|  94|      59|      0|    0.07|  0.07|                 1|             14|             15|               8|     59|            59|            1|
|  95|      48|      0|    0.00|  0.00|                 0|             17|             16|              11|     48|            48|            1|
|  96|      38|      0|    0.00|  0.00|                 0|             10|             16|               5|     38|            38|            1|
|  97|      38|      0|    0.07|  0.06|                 1|             15|             17|              10|     38|            38|            1|
|  98|      86|      0|    0.06|  0.06|                 1|             17|             16|               8|     86|            86|            1|
|  99|      34|      0|    0.07|  0.07|                 1|             15|             15|              10|     34|            34|            1|
| 100|      39|      0|    0.00|  0.00|                 0|             13|             16|               9|     39|            39|            1|
| 101|      34|      0|    0.00|  0.00|                 0|             13|             15|              10|     34|            34|            1|
| 102|      35|      0|    0.08|  0.07|                 1|             13|             15|               7|     35|            35|            1|
| 103|      37|      0|    0.00|  0.00|                 0|             14|             15|               4|     37|            37|            1|
| 104|      34|      0|    0.08|  0.06|                 1|             13|             16|               8|     34|            34|            1|
| 105|      28|      0|    0.00|  0.00|                 0|              4|             13|               2|     28|            28|            1|
| 106|      32|      0|    0.00|  0.00|                 0|             12|             14|               5|     32|            32|            1|
| 107|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 108|      39|      0|    0.00|  0.00|                 0|             15|             16|               9|     39|            39|            1|
| 109|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 110|      68|      0|    0.00|  0.00|                 0|             21|             17|              10|     68|            68|            1|
| 111|      40|      0|    0.00|  0.00|                 0|             15|             15|               5|     40|            40|            1|
| 112|     124|      0|    0.05|  0.05|                 1|             21|             21|              11|    124|           124|            1|
| 113|      56|      0|    0.00|  0.00|                 0|             16|             15|               6|     56|            56|            1|
| 114|      79|      0|    0.00|  0.00|                 0|             19|             15|               9|     79|            79|            1|
| 115|      44|      0|    0.08|  0.06|                 1|             12|             17|               7|     44|            44|            1|
| 116|      22|      0|    0.08|  0.09|                 1|             12|             11|               7|     22|            22|            1|
| 117|      62|      0|    0.07|  0.06|                 1|             15|             16|              12|     62|            62|            1|
| 118|      11|      0|    0.67|  0.67|                 2|              3|              3|               0|     11|            11|            1|
| 119|      67|      0|    0.06|  0.06|                 1|             16|             17|              11|     67|            67|            1|
| 120|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 121|      53|      0|    0.14|  0.12|                 2|             14|             16|               4|     53|            53|            1|
| 122|      14|      0|    0.67|  0.67|                 2|              3|              3|               0|     14|            14|            1|
| 123|      31|      0|    0.08|  0.07|                 1|             13|             15|               8|     31|            31|            1|
| 124|      48|      0|    0.08|  0.06|                 1|             13|             17|               6|     48|            48|            1|
| 125|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 126|      33|      0|    0.07|  0.08|                 1|             14|             13|               7|     33|            33|            1|
| 127|      60|      0|    0.06|  0.06|                 1|             16|             16|               6|     60|            60|            1|
| 128|      37|      0|    0.07|  0.07|                 1|             15|             15|              10|     37|            37|            1|
| 129|      45|      0|    0.08|  0.06|                 1|             13|             17|               3|     45|            45|            1|
| 130|      33|      0|    0.00|  0.00|                 0|             13|             14|              10|     33|            33|            1|
| 131|      51|      0|    0.08|  0.06|                 1|             13|             18|              11|     51|            51|            1|
| 132|      37|      0|    0.07|  0.06|                 1|             15|             16|              10|     37|            37|            1|
| 133|      33|      0|    0.00|  0.00|                 0|             15|             14|              11|     33|            33|            1|
| 134|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 135|      30|      0|    0.07|  0.07|                 1|             15|             14|               7|     30|            30|            1|
| 136|      59|      0|    0.07|  0.06|                 1|             14|             16|               8|     59|            59|            1|
| 137|      63|      0|    0.00|  0.00|                 0|             19|             15|              11|     63|            63|            1|
| 138|      51|      0|    0.00|  0.00|                 0|              7|             18|               5|     51|            51|            1|
| 139|      23|      0|    0.08|  0.08|                 1|             12|             12|               7|     23|            23|            1|
| 140|      37|      0|    0.00|  0.00|                 0|             10|             16|               5|     37|            37|            1|
| 141|      14|      0|    0.67|  0.67|                 2|              3|              3|               0|     14|            14|            1|
| 142|      33|      0|    0.20|  0.14|                 2|             10|             14|               5|     33|            33|            1|
| 143|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 144|      27|      0|    0.00|  0.00|                 0|              8|             13|               0|     27|            27|            1|
| 145|      20|      0|    0.09|  0.09|                 1|             11|             11|               1|     20|            20|            1|
| 146|      36|      0|    0.00|  0.00|                 0|             12|             16|               8|     36|            36|            1|
| 147|      22|      0|    0.08|  0.10|                 1|             12|             10|               7|     22|            22|            1|
| 148|      37|      0|    0.00|  0.00|                 0|             10|             16|               5|     37|            37|            1|
| 149|      28|      0|    0.00|  0.00|                 0|              4|             13|               1|     28|            28|            1|
| 150|      37|      0|    0.00|  0.00|                 0|             10|             16|               5|     37|            37|            1|
| 151|      15|      0|    0.00|  0.00|                 0|              9|              3|               0|     15|            15|            1|
| 152|      26|      0|    0.00|  0.00|                 0|             10|             12|               5|     26|            26|            1|
| 153|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
| 154|      34|      0|    0.22|  0.13|                 2|              9|             15|               6|     34|            34|            1|
| 155|      24|      0|    0.09|  0.08|                 1|             11|             12|               6|     24|            24|            1|
| 156|      31|      0|    0.00|  0.00|                 0|             12|             14|               2|     31|            31|            1|
| 157|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 158|      19|      0|    0.20|  0.22|                 2|             10|              9|               5|     19|            19|            1|
| 159|      36|      0|    0.18|  0.12|                 2|             11|             16|               8|     36|            36|            1|
| 160|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
| 161|      18|      0|    0.00|  0.00|                 0|              9|              9|               3|     18|            18|            1|
| 162|      18|      0|    0.11|  0.11|                 1|              9|              9|               3|     18|            18|            1|
| 163|      23|      0|    0.00|  0.00|                 0|             12|             12|               7|     23|            23|            1|
| 164|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
| 165|      53|      0|    0.07|  0.06|                 1|             14|             16|               9|     53|            53|            1|
| 166|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
| 167|      18|      0|    0.09|  0.11|                 1|             11|              9|               7|     18|            18|            1|
| 168|      25|      0|    0.00|  0.00|                 0|             11|             12|               7|     25|            25|            1|
| 169|      36|      0|    0.00|  0.00|                 0|             10|             15|               6|     36|            36|            1|
| 170|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
| 171|      16|      0|    0.00|  0.00|                 0|              8|              3|               0|     16|            16|            1|
| 172|      47|      0|    0.08|  0.06|                 1|             12|             16|               6|     47|            47|            1|
| 173|      25|      0|    0.08|  0.08|                 1|             12|             12|               8|     25|            25|            1|
| 174|      14|      0|    1.00|  1.00|                 3|              3|              3|               0|     14|            14|            1|
| 175|      32|      0|    0.00|  0.00|                 0|              9|             15|               6|     32|            32|            1|
| 176|      22|      0|    0.00|  0.00|                 0|             11|             10|               5|     22|            22|            1|
| 177|      28|      0|    0.00|  0.00|                 0|              4|             13|               2|     28|            28|            1|
| 178|      54|      0|    0.08|  0.06|                 1|             12|             17|              10|     54|            54|            1|
| 179|      15|      0|    1.00|  1.00|                 3|              3|              3|               0|     15|            15|            1|
| 180|      41|      0|    0.08|  0.06|                 1|             12|             17|               4|     41|            41|            1|
| 181|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
| 182|      47|      0|    0.08|  0.06|                 1|             12|             17|               7|     47|            47|            1|
| 183|      61|      0|    0.00|  0.00|                 0|              7|             15|               4|     61|            61|            1|
| 184|     125|      0|    0.08|  0.10|                 2|             25|             20|              10|    125|           125|            1|
| 185|      81|      0|    0.00|  0.00|                 0|             21|             17|               9|     81|            81|            1|
| 186|      74|      0|    0.00|  0.00|                 0|             18|             18|               9|     74|            74|            1|
| 187|      86|      0|    0.00|  0.00|                 0|             20|             15|              11|     86|            86|            1|
| 188|      16|      0|    0.67|  0.67|                 2|              3|              3|               0|     16|            16|            1|
| 189|      46|      0|    0.08|  0.06|                 1|             12|             17|               8|     46|            46|            1|
| 190|      35|      0|    0.00|  0.00|                 0|             13|             15|               9|     35|            35|            1|
| 191|      41|      0|    0.08|  0.07|                 1|             12|             15|               8|     41|            41|            1|
| 192|      23|      0|    0.00|  0.00|                 0|             12|             12|               1|     23|            23|            1|
| 193|      66|      0|    0.07|  0.07|                 1|             14|             14|               7|     66|            66|            1|
| 194|      50|      0|    0.00|  0.00|                 0|             17|             15|               9|     50|            50|            1|
| 195|      71|      0|    0.06|  0.06|                 1|             17|             16|              11|     71|            71|            1|
| 196|      35|      0|    0.08|  0.07|                 1|             12|             14|               6|     35|            35|            1|
| 197|      49|      0|    0.09|  0.05|                 1|             11|             19|               9|     49|            49|            1|
| 198|      14|      0|    0.67|  0.67|                 2|              3|              3|               0|     14|            14|            1|
| 199|      40|      0|    0.10|  0.06|                 1|             10|             17|               9|     40|            40|            1|
| 200|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
| 201|      48|      0|    0.08|  0.06|                 1|             13|             17|               9|     48|            48|            1|
| 202|      40|      0|    0.00|  0.00|                 0|              5|             16|               2|     40|            40|            1|
| 203|      74|      0|    0.06|  0.06|                 1|             17|             18|              14|     74|            74|            1|
| 204|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 205|      71|      0|    0.07|  0.06|                 1|             15|             17|              11|     71|            71|            1|
| 206|      34|      0|    0.00|  0.00|                 0|             14|             16|               5|     34|            34|            1|
| 207|      32|      0|    0.15|  0.13|                 2|             13|             15|               7|     32|            32|            1|
| 208|      33|      0|    0.00|  0.00|                 0|             12|             16|               8|     33|            33|            1|
| 209|      46|      0|    0.08|  0.06|                 1|             13|             17|               7|     46|            46|            1|
| 210|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 211|      66|      0|    0.07|  0.06|                 1|             15|             18|               7|     66|            66|            1|
| 212|      36|      0|    0.06|  0.07|                 1|             17|             15|              11|     36|            36|            1|
| 213|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
| 214|      36|      0|    0.07|  0.06|                 1|             14|             16|               7|     36|            36|            1|
| 215|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 216|      45|      0|    0.09|  0.06|                 1|             11|             18|               7|     45|            45|            1|
| 217|      39|      0|    0.00|  0.00|                 0|             14|             16|               7|     39|            39|            1|
| 218|      34|      0|    0.07|  0.07|                 1|             14|             15|               7|     34|            34|            1|
| 219|      30|      0|    0.00|  0.00|                 0|             13|             14|               4|     30|            30|            1|
| 220|      74|      0|    0.07|  0.05|                 1|             15|             20|              12|     74|            74|            1|
| 221|      25|      0|    0.00|  0.00|                 0|              4|             12|               0|     25|            25|            1|
| 222|      36|      0|    0.00|  0.00|                 0|             13|             16|               7|     36|            36|            1|
| 223|      48|      0|    0.08|  0.06|                 1|             13|             17|               5|     48|            48|            1|
| 224|      39|      0|    0.08|  0.06|                 1|             13|             16|               6|     39|            39|            1|
| 225|      29|      0|    0.00|  0.00|                 0|              4|             13|               2|     29|            29|            1|
| 226|      81|      0|    0.06|  0.06|                 1|             17|             18|              13|     81|            81|            1|
| 227|      17|      0|    0.00|  0.00|                 0|              3|              9|               0|     17|            17|            1|
| 228|      28|      0|    0.00|  0.00|                 0|             13|             13|               4|     28|            28|            1|
| 229|      69|      0|    0.07|  0.06|                 1|             15|             16|               6|     69|            69|            1|
| 230|      40|      0|    0.00|  0.00|                 0|             13|             16|               6|     40|            40|            1|
| 231|      39|      0|    0.00|  0.00|                 0|             13|             16|               9|     39|            39|            1|
| 232|      33|      0|    0.07|  0.07|                 1|             14|             15|               9|     33|            33|            1|
| 233|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 234|      35|      0|    0.00|  0.00|                 0|             13|             15|               8|     35|            35|            1|
| 235|      59|      0|    0.07|  0.06|                 1|             15|             16|              10|     59|            59|            1|
| 236|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 237|      46|      0|    0.00|  0.00|                 0|             16|             17|               9|     46|            46|            1|
| 238|      60|      0|    0.08|  0.06|                 1|             13|             16|               7|     60|            60|            1|
| 239|      38|      0|    0.07|  0.06|                 1|             15|             16|               9|     38|            38|            1|
| 240|      15|      0|    0.67|  0.67|                 2|              3|              3|               0|     15|            15|            1|
| 241|      38|      0|    0.00|  0.00|                 0|             11|             16|               7|     38|            38|            1|
| 242|      13|      0|    1.00|  1.00|                 3|              3|              3|               0|     13|            13|            1|
| 243|      38|      0|    0.00|  0.00|                 0|             14|             16|               5|     38|            38|            1|
| 244|      28|      0|    0.07|  0.07|                 1|             14|             14|               8|     28|            28|            1|
| 245|      27|      0|    0.00|  0.00|                 0|             12|             13|               3|     27|            27|            1|
| 246|      30|      0|    0.07|  0.07|                 1|             15|             15|              11|     30|            30|            1|
| 247|      23|      0|    0.00|  0.00|                 0|              4|             12|               0|     23|            23|            1|
| 248|      41|      0|    0.00|  0.00|                 0|             13|             14|               6|     41|            41|            1|
| 249|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 250|      35|      0|    0.14|  0.13|                 2|             14|             15|               8|     35|            35|            1|
| 251|      41|      0|    0.08|  0.06|                 1|             13|             17|               6|     41|            41|            1|
| 252|      32|      0|    0.00|  0.00|                 0|             13|             15|               6|     32|            32|            1|
| 253|      74|      0|    0.07|  0.06|                 1|             15|             16|               9|     74|            74|            1|
| 254|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 255|      45|      0|    0.08|  0.06|                 1|             12|             17|               7|     45|            45|            1|
| 256|      15|      0|    0.67|  0.67|                 2|              3|              3|               0|     15|            15|            1|
| 257|      46|      0|    0.08|  0.06|                 1|             13|             17|               9|     46|            46|            1|
| 258|      25|      0|    0.00|  0.00|                 0|              4|             12|               0|     25|            25|            1|
| 259|      40|      0|    0.08|  0.07|                 1|             13|             14|               8|     40|            40|            1|
| 260|      52|      0|    0.07|  0.06|                 1|             14|             18|              11|     52|            52|            1|
| 261|      57|      0|    0.00|  0.00|                 0|             16|             15|              12|     57|            57|            1|
| 262|      15|      0|    0.67|  0.67|                 2|              3|              3|               0|     15|            15|            1|
| 263|      38|      0|    0.00|  0.00|                 0|             14|             16|              10|     38|            38|            1|
| 264|      15|      0|    1.00|  1.00|                 3|              3|              3|               0|     15|            15|            1|
| 265|      44|      0|    0.00|  0.00|                 0|             18|             14|               8|     44|            44|            1|
| 266|      56|      0|    0.00|  0.00|                 0|             16|             16|               7|     56|            56|            1|
| 267|      59|      0|    0.00|  0.00|                 0|              6|             16|               5|     59|            59|            1|
| 268|     145|      0|    0.04|  0.05|                 1|             23|             20|               8|    145|           145|            1|
| 269|      73|      0|    0.00|  0.00|                 0|             22|             15|               9|     73|            73|            1|
| 270|      62|      0|    0.00|  0.00|                 0|             19|             17|              13|     62|            62|            1|
| 271|      36|      0|    0.00|  0.00|                 0|              5|             16|               4|     36|            36|            1|
| 272|     166|      0|    0.04|  0.05|                 1|             25|             20|              13|    166|           166|            1|
| 273|      61|      0|    0.00|  0.00|                 0|             17|             12|               4|     61|            61|            1|
| 274|      75|      0|    0.00|  0.00|                 0|             19|             18|              12|     75|            75|            1|
| 275|      15|      0|    0.67|  0.67|                 2|              3|              3|               0|     15|            15|            1|
| 276|      48|      0|    0.08|  0.06|                 1|             13|             17|               8|     48|            48|            1|
| 277|      15|      0|    1.00|  1.00|                 3|              3|              3|               0|     15|            15|            1|
| 278|      32|      0|    0.00|  0.00|                 0|             11|             15|               7|     32|            32|            1|
| 279|      31|      0|    0.00|  0.00|                 0|             13|             14|               6|     31|            31|            1|
| 280|      46|      0|    0.00|  0.00|                 0|             17|             15|               8|     46|            46|            1|
| 281|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 282|      59|      0|    0.08|  0.06|                 1|             13|             16|               7|     59|            59|            1|
| 283|      34|      0|    0.00|  0.00|                 0|             13|             15|               8|     34|            34|            1|
| 284|      52|      0|    0.08|  0.06|                 1|             13|             17|               7|     52|            52|            1|
| 285|      38|      0|    0.00|  0.00|                 0|             13|             15|               5|     38|            38|            1|
| 286|      13|      0|    0.67|  0.67|                 2|              3|              3|               0|     13|            13|            1|
| 287|      41|      0|    0.00|  0.00|                 0|             15|             17|              11|     41|            41|            1|
| 288|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 289|      60|      0|    0.07|  0.06|                 1|             15|             16|               8|     60|            60|            1|
| 290|      40|      0|    0.08|  0.07|                 1|             13|             15|               1|     40|            40|            1|
| 291|      44|      0|    0.08|  0.06|                 1|             12|             17|               9|     44|            44|            1|
| 292|      27|      0|    0.07|  0.08|                 1|             14|             12|               5|     27|            27|            1|
| 293|      29|      0|    0.08|  0.08|                 1|             12|             13|               4|     29|            29|            1|
| 294|      16|      0|    0.67|  0.67|                 2|              3|              3|               0|     16|            16|            1|
| 295|      42|      0|    0.00|  0.00|                 0|             15|             16|               6|     42|            42|            1|
| 296|      49|      0|    0.08|  0.06|                 1|             13|             17|               7|     49|            49|            1|
| 297|      37|      0|    0.00|  0.00|                 0|             13|             16|               8|     37|            37|            1|
| 298|      37|      0|    0.00|  0.00|                 0|             12|             15|               7|     37|            37|            1|
| 299|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 300|      37|      0|    0.00|  0.00|                 0|             14|             16|               9|     37|            37|            1|
| 301|      86|      0|    0.06|  0.05|                 1|             18|             19|              13|     86|            86|            1|
| 302|      30|      0|    0.08|  0.07|                 1|             13|             15|               7|     30|            30|            1|
| 303|      36|      0|    0.00|  0.00|                 0|             15|             15|               6|     36|            36|            1|
| 304|      34|      0|    0.08|  0.07|                 1|             13|             15|              10|     34|            34|            1|
| 305|      12|      0|    0.67|  0.67|                 2|              3|              3|               0|     12|            12|            1|
| 306|      31|      0|    0.00|  0.00|                 0|             12|             14|               8|     31|            31|            1|
| 307|      54|      0|    0.08|  0.06|                 1|             13|             18|              10|     54|            54|            1|
| 308|      36|      0|    0.06|  0.07|                 1|             16|             15|               8|     36|            36|            1|
| 309|      42|      0|    0.08|  0.06|                 1|             13|             17|               6|     42|            42|            1|
| 310|      41|      0|    0.00|  0.00|                 0|             13|             16|               6|     41|            41|            1|
| 311|      24|      0|    0.00|  0.00|                 0|              4|             12|               0|     24|            24|            1|
| 312|      47|      0|    0.15|  0.12|                 2|             13|             17|               8|     47|            47|            1|
| 313|      12|      0|    1.00|  1.00|                 3|              3|              3|               0|     12|            12|            1|
| 314|      53|      0|    0.08|  0.06|                 1|             13|             16|               7|     53|            53|            1|
| 315|      14|      0|    0.67|  0.67|                 2|              3|              3|               0|     14|            14|            1|
| 316|      65|      0|    0.07|  0.06|                 1|             15|             18|              11|     65|            65|            1|
| 317|      57|      0|    0.00|  0.00|                 0|             16|             16|              10|     57|            57|            1|
| 318|      54|      0|    0.08|  0.06|                 1|             12|             16|               7|     54|            54|            1|
| 319|      29|      0|    0.07|  0.08|                 1|             14|             13|              11|     29|            29|            1|
| 320|      52|      0|    0.07|  0.06|                 1|             15|             17|              11|     52|            52|            1|
